,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
60,24,39,3,1.7,2,0,0,1,0,1,0
61,21,125,1,5.7,1,112,0,1,0,0,0
62,18,22,1,1.0,1,0,0,0,0,0,0
63,17,32,4,0.0,2,0,0,0,0,1,0
64,23,105,2,3.3,1,0,0,0,0,0,0
65,35,131,1,3.8,1,0,0,0,0,1,1
66,36,105,2,2.8,1,336,0,0,0,0,0
67,23,45,4,2.0,3,132,0,1,0,0,0
68,21,60,3,2.1,1,0,0,0,0,1,1
69,29,20,4,0.2,1,0,0,0,0,1,0
70,18,115,1,3.5,1,0,0,0,0,0,1
71,29,69,4,1.0,2,0,0,0,0,1,0
72,20,130,1,5.0,1,0,0,0,0,0,1
73,16,85,1,4.0,3,0,0,0,0,1,1
74,3,135,2,3.3,1,0,0,0,0,0,1
75,7,135,4,3.8,2,0,1,0,1,1,1
76,32,12,3,0.3,3,0,0,0,0,0,0
77,20,29,3,0.5,2,0,0,0,0,0,0
78,30,133,2,2.6,3,0,1,0,0,0,0
79,26,19,2,0.4,1,118,0,0,0,1,0
80,36,41,4,1.3,1,174,0,0,0,1,1
81,22,40,3,2.7,2,0,0,0,0,1,0
82,16,82,1,4.0,3,0,0,0,0,1,0
83,9,50,1,2.4,2,0,0,0,0,0,0
84,22,18,1,0.9,3,0,0,0,0,1,0
85,2,109,4,1.8,3,0,0,0,0,0,0
86,16,42,4,2.2,2,126,0,0,0,0,0
87,22,78,3,1.1,1,0,0,0,0,1,0
88,41,51,2,1.1,1,0,0,0,0,1,0
89,2,113,4,2.3,3,0,0,0,0,0,1
90,30,118,4,5.6,2,0,1,0,0,1,0
91,10,29,4,1.1,3,0,0,0,0,1,0
92,19,34,3,0.6,2,0,0,0,0,0,0
93,34,64,2,1.7,3,236,0,1,0,1,0
94,39,121,1,2.0,1,0,0,0,0,0,0
95,12,48,4,0.2,3,0,0,0,0,1,0
96,15,80,1,5.2,1,0,0,0,0,0,0
97,28,161,1,2.9,1,0,0,0,0,1,0
98,23,94,1,0.3,1,0,0,0,0,1,0
99,41,15,3,0.1,3,0,0,0,0,1,0
100,23,74,1,1.2,1,0,0,0,0,1,0
101,36,30,3,1.3,2,0,0,0,0,0,0
102,23,44,3,1.0,3,198,0,0,0,1,1
103,18,22,2,0.3,2,0,0,0,0,1,0
104,32,38,4,1.3,1,166,0,0,0,1,1
105,0,35,3,0.1,2,0,0,1,0,1,0
106,17,69,4,2.9,1,0,0,0,0,1,1
107,18,43,1,0.7,1,136,0,0,0,0,0
108,7,32,1,0.6,3,166,0,0,0,1,0
109,17,49,1,2.8,1,0,0,0,0,1,0
110,14,9,3,1.0,2,0,0,0,0,0,0
111,38,45,4,1.3,2,0,0,0,0,1,0
112,15,82,3,1.0,1,309,0,0,0,0,0
113,34,92,2,2.8,1,103,0,0,0,0,0
114,14,39,3,0.5,3,0,0,0,0,1,0
115,40,81,3,1.8,2,0,0,0,0,1,0
116,29,35,1,1.5,2,0,0,0,0,1,0
117,33,61,2,2.3,3,193,0,0,0,1,0
118,16,73,3,3.0,1,0,0,0,0,1,0
119,7,112,1,4.6,1,366,0,0,0,0,0
120,29,12,2,0.2,3,0,0,0,0,1,0
121,26,38,3,0.9,3,0,0,0,0,1,0
122,32,73,2,0.7,2,0,0,0,0,1,1
123,13,84,1,3.6,2,0,0,1,0,0,0
124,15,78,4,2.4,1,118,0,0,0,1,0
125,35,80,3,0.5,1,0,0,0,0,1,0
126,5,115,2,1.3,1,101,0,0,0,1,1
127,8,82,1,2.7,2,251,0,0,0,1,0
128,14,74,2,0.0,1,0,0,1,0,1,0
129,16,70,3,0.5,3,0,0,0,0,0,1
130,4,81,3,1.5,1,276,0,0,0,1,0
131,34,149,4,7.2,2,0,1,0,1,1,1
132,1,51,2,1.75,3,0,0,0,0,0,0
133,4,39,3,1.1,2,0,0,0,0,1,0
134,29,98,3,1.8,2,0,0,0,0,0,0
135,33,45,4,2.1,1,0,0,0,0,1,1
136,32,49,4,2.5,2,0,0,0,0,1,0
137,25,128,2,0.4,1,0,0,0,0,0,0
138,34,42,3,1.5,1,0,0,1,1,0,1
139,35,18,1,1.2,3,0,0,0,0,1,0
140,25,31,2,0.4,3,161,0,0,0,1,1
141,11,58,3,2.0,1,149,0,0,0,1,1
142,9,48,1,2.1,3,0,0,0,0,0,1
143,1,54,4,1.6,1,0,0,0,0,1,1
144,23,70,2,1.5,2,0,0,0,0,0,0
145,35,124,1,7.4,1,0,0,0,0,0,1
146,19,84,1,2.6666666666666665,2,0,0,0,0,1,1
147,25,83,4,3.6,3,188,0,0,0,1,0
148,28,163,2,0.4,1,116,0,0,0,1,0
149,22,42,3,2.2,2,0,0,0,0,0,0
150,22,118,2,7.5,1,0,0,0,1,1,1
151,0,132,3,6.5,3,0,1,0,0,0,1
152,32,24,1,1.3,1,0,0,0,0,1,1
153,36,22,2,1.0,1,0,0,1,1,1,1
154,29,58,4,1.3,3,0,0,0,0,0,0
155,0,60,4,1.6,1,0,0,0,0,1,0
156,0,15,4,0.4,1,0,0,0,0,0,1
157,17,83,4,2.6666666666666665,1,0,0,0,0,1,1
158,6,79,2,1.5,3,0,0,0,0,1,1
159,35,41,4,1.7,2,0,0,1,0,1,0
160,0,134,4,6.5,3,0,1,0,0,0,0
161,35,80,2,2.8,1,0,0,0,0,1,0
162,12,52,1,2.0,1,0,0,0,0,0,0
163,4,70,4,2.6,1,0,0,0,0,1,0
164,27,92,2,1.1,1,0,0,1,0,0,0
165,1,43,1,1.5,1,0,0,0,0,1,0
166,1,21,3,1.0,2,0,0,0,0,0,0
167,9,23,3,0.9,3,0,0,0,0,1,1
168,26,13,4,1.0,1,0,0,0,0,1,0
169,1,112,4,2.1,3,0,0,0,0,0,1
170,1,138,2,2.0,1,0,0,0,0,1,0
171,28,11,3,0.4,1,0,0,1,0,0,0
172,13,171,2,7.8,1,0,0,0,0,1,0
173,34,42,4,1.5,1,0,0,0,0,1,1
174,17,168,2,7.9,2,0,1,0,0,1,0
175,20,85,4,1.1,2,0,0,1,0,1,0
176,25,44,3,1.0,2,135,0,0,0,1,0
177,3,65,4,1.8,2,244,0,0,0,0,0
178,29,24,4,0.2,1,0,0,0,0,1,1
179,37,11,1,0.1,1,0,0,0,0,1,0
180,27,38,2,1.0,3,164,0,0,0,1,0
181,12,10,4,0.7,2,81,0,0,0,0,0
182,0,135,1,1.5,1,0,0,0,0,1,0
183,3,148,3,4.1,1,0,1,0,0,1,0
184,26,63,2,1.5,2,0,0,1,0,1,0
185,14,115,1,1.0,3,0,0,0,0,1,0
186,23,45,1,0.3,1,0,0,0,0,1,1
187,21,159,3,1.9,3,315,1,0,0,1,0
188,40,169,2,2.1,1,122,0,0,0,1,0
189,29,112,2,1.4,1,0,0,0,0,1,0
190,36,93,1,4.3,1,0,0,0,0,1,0
191,25,29,1,0.3,3,140,0,0,0,0,0
192,23,85,1,2.6666666666666665,2,0,0,0,0,1,0
193,24,21,4,0.6,1,0,0,0,0,1,1
194,29,144,2,6.8,1,0,0,0,0,1,0
195,10,13,4,1.0,1,95,0,1,0,1,0
196,24,165,1,5.0,1,0,0,0,0,0,1
197,31,9,4,0.7,1,89,0,0,0,1,0
198,3,59,4,0.0,1,90,0,1,0,1,0
199,11,158,1,5.1,3,0,1,0,1,1,1
200,6,29,1,1.9,3,0,0,0,0,1,1
201,9,20,2,1.4,3,0,0,0,0,1,1
202,3,68,4,2.0,2,0,0,0,0,1,0
203,34,65,4,2.2,1,0,0,0,0,1,0
204,31,61,2,1.9,2,105,0,0,0,0,0
205,12,91,4,1.4,2,100,0,0,0,0,1
206,25,31,1,1.0,1,0,0,1,0,1,0
207,10,71,4,0.1,2,0,0,0,0,0,0
208,16,73,4,2.6666666666666665,1,0,0,0,0,1,1
209,39,172,4,3.1,1,282,1,0,1,1,1
210,26,20,2,0.0,1,0,0,0,0,0,0
211,18,55,1,0.2,1,0,0,0,0,0,0
212,22,69,2,1.7,1,209,0,0,0,0,0
213,33,155,1,7.4,1,0,0,0,0,1,0
214,28,94,1,1.9,2,0,0,0,0,0,0
215,14,92,2,0.0,1,249,0,0,0,1,1
216,3,125,2,0.6,1,0,0,0,0,0,0
217,14,74,3,3.0,1,0,0,0,0,0,0
218,20,72,3,0.3,3,0,0,0,0,1,0
219,30,61,1,2.2,3,0,0,0,0,1,1
220,6,25,2,0.3,1,0,0,0,0,0,1
221,19,83,2,1.7,2,0,0,0,0,1,0
222,2,104,3,2.5,1,0,0,0,0,0,0
223,25,41,3,1.0,3,0,0,0,0,1,0
224,27,58,4,1.8,3,91,0,0,0,0,0
225,13,93,1,1.5,3,0,0,0,0,0,1
226,1,39,2,1.7,2,0,0,0,0,0,0
227,23,148,2,7.5,1,0,0,0,1,1,1
228,22,53,4,1.9,3,98,0,1,1,0,1
229,24,71,2,1.7,1,145,0,0,0,0,1
230,22,92,1,2.8,2,0,0,0,0,1,0
231,10,61,4,2.1,3,0,0,0,0,1,0
232,19,38,3,2.5,2,135,0,0,0,0,0
233,37,58,4,1.7,1,0,0,0,0,1,0
234,1,80,1,0.8,2,150,0,0,0,0,0
235,8,71,4,1.8,3,0,0,0,0,1,0
236,18,89,3,0.5,3,0,0,0,0,1,1
237,38,83,1,1.8,3,0,0,0,0,1,0
238,32,28,3,0.2,1,0,0,0,0,1,1
239,3,52,4,1.7,2,0,0,0,0,0,0
240,26,70,1,1.2,1,169,0,0,0,0,0
241,22,71,1,1.4,3,0,0,0,0,0,1
242,16,75,1,3.7,3,280,0,0,0,0,0
243,39,170,3,7.9,3,99,1,0,1,1,0
244,17,78,4,0.8,1,78,0,0,0,1,0
245,11,25,2,1.0,2,0,0,0,0,0,0
246,14,60,2,0.6,3,0,0,0,0,1,1
247,29,120,4,2.7,2,111,1,1,1,1,0
248,29,99,2,1.4,1,264,0,0,0,1,1
249,1,55,3,2.6,3,113,0,0,0,0,1
250,6,29,3,1.0,2,117,0,0,0,0,0
251,28,170,2,6.2,2,325,1,0,0,1,0
252,40,53,3,2.2,1,0,0,0,0,0,1
253,21,138,1,0.0,1,0,0,0,0,0,0
254,41,134,3,3.9,3,121,1,0,0,1,0
255,40,42,2,0.7,3,138,0,0,0,0,1
256,0,99,4,2.3,3,0,0,0,0,0,1
257,41,18,3,0.5,1,0,0,0,0,0,1
258,9,24,4,0.3,1,0,0,0,0,1,0
259,30,55,1,1.4,1,77,0,0,0,1,0
260,27,58,1,0.0,1,0,0,0,0,0,1
261,16,111,2,1.2,3,251,1,0,0,1,0
262,23,33,1,0.3,3,0,0,0,1,1,1
263,1,74,4,1.8,2,112,0,0,0,1,1
264,19,38,2,0.7,1,0,0,0,0,0,0
265,23,23,4,0.6,3,98,0,1,0,0,0
266,38,61,2,1.5,1,0,0,0,0,1,0
267,22,81,1,2.9,1,138,0,0,0,0,0
268,39,129,1,2.5,1,0,0,0,0,1,0
269,13,33,1,0.75,3,0,0,0,0,0,0
270,36,63,4,2.2,1,0,0,0,0,1,0
271,14,70,4,1.4,2,0,0,0,0,1,0
272,3,45,4,0.2,1,158,0,0,0,1,1
273,16,65,3,0.5,3,0,0,0,0,1,0
274,5,74,4,2.2,1,0,0,1,0,0,1
275,24,50,4,1.8,3,0,0,1,0,0,0
276,5,22,4,0.5,3,109,0,0,0,1,0
277,2,30,4,1.0,3,0,0,0,0,0,0
278,26,21,4,1.0,1,0,0,0,0,1,0
279,14,155,2,3.9,1,0,0,0,0,1,0
280,8,64,4,2.1,3,164,0,0,0,1,0
281,31,65,4,2.6,3,0,0,0,0,0,1
282,9,71,4,0.7,3,0,0,0,0,1,0
283,36,40,3,0.5,2,0,0,1,0,1,0
284,19,69,3,0.5,3,0,0,0,0,1,0
285,13,69,3,2.3333333333333335,2,0,0,0,0,0,0
286,25,45,3,0.6,2,131,0,0,0,1,0
287,12,62,3,0.7,2,0,0,0,0,0,1
288,19,172,2,4.3,3,391,1,1,1,1,0
289,15,24,3,1.0,2,0,0,0,0,1,1
290,25,80,1,4.9,1,0,0,0,0,0,0
291,16,8,3,0.6666666666666666,2,88,0,0,0,1,0
292,5,38,4,0.8,1,129,0,0,0,1,1
293,19,93,4,2.6,3,0,0,0,0,0,0
294,9,55,1,2.0,1,0,0,0,0,1,0
295,34,64,2,1.7,3,0,0,0,0,0,1
296,9,122,1,0.0,1,0,0,0,0,1,0
297,25,70,3,1.4,3,0,0,0,0,1,0
298,19,81,2,3.2,1,0,0,0,0,0,0
299,15,159,1,5.5,3,0,1,0,1,1,0
300,9,70,4,1.3,1,0,0,1,0,0,0
301,39,150,2,6.9,1,196,0,0,0,0,0
302,21,152,2,7.5,1,0,0,0,0,1,0
303,25,195,4,3.0,1,617,1,0,0,0,0
304,23,22,1,0.1,1,0,0,0,0,0,0
305,35,22,1,1.3,1,123,0,0,0,1,0
306,29,79,3,0.8,1,0,0,0,0,1,1
307,18,33,1,1.4,3,0,0,0,0,1,0
308,8,128,2,4.333333333333333,1,0,0,0,1,1,1
309,38,91,1,3.8,1,0,0,1,0,1,0
310,32,39,4,0.9,1,0,0,0,0,1,1
311,26,121,1,7.3,1,167,0,0,0,1,0
312,6,21,1,0.6666666666666666,3,0,0,1,0,1,0
313,9,41,3,2.3,1,0,0,0,0,0,1
314,37,45,2,0.7,3,0,0,0,0,1,0
315,1,51,3,0.3,3,0,0,0,0,1,0
316,31,165,1,1.6,2,0,1,0,0,1,0
317,16,119,2,4.2,2,0,1,0,0,1,0
318,2,110,4,1.8,3,190,0,0,0,1,0
319,39,20,3,0.7,2,0,0,0,0,0,1
320,34,64,1,0.8,2,248,0,0,0,0,0
321,20,101,3,4.4,2,82,1,0,0,0,0
322,39,101,1,3.9,1,0,1,1,1,1,0
323,34,99,1,4.4,1,0,1,0,0,0,0
324,30,158,4,6.1,1,0,1,0,0,0,0
325,28,89,1,1.9,2,0,0,0,0,1,1
326,27,80,1,1.3,3,0,0,0,1,1,1
327,32,114,2,2.0,1,402,0,0,0,1,0
328,35,49,3,0.5,2,0,0,0,0,1,1
329,4,191,1,6.333333333333333,1,0,0,0,0,1,0
330,30,78,4,1.0,2,0,0,0,0,1,0
331,6,28,3,1.0,1,0,0,0,0,0,0
332,33,42,1,0.8,2,0,0,0,0,1,0
333,38,140,1,2.5,1,0,0,0,0,0,0
334,23,45,1,1.3,2,0,0,0,0,1,0
335,32,122,2,0.3,1,360,0,0,1,1,1
336,12,65,3,2.6,2,0,0,0,0,1,0
337,27,68,1,1.4,3,0,0,0,0,1,0
338,3,153,2,2.0,1,392,0,0,0,0,0
339,13,89,4,1.4,2,0,0,0,0,0,0
340,34,91,1,2.6,1,0,0,0,0,1,1
341,6,55,4,2.0,2,185,0,0,0,1,0
342,19,118,2,3.3,1,0,0,0,0,0,1
343,5,22,1,0.6666666666666666,3,103,0,0,0,0,0
344,24,63,3,1.4,3,138,0,0,0,1,1
345,27,12,4,0.5,2,78,0,1,0,1,0
346,19,50,3,2.7,2,0,0,0,0,1,0
347,0,43,2,1.6,3,0,0,1,1,1,1
348,15,173,4,6.6,1,0,1,0,1,1,1
349,2,60,2,3.0,1,132,1,0,0,0,0
350,14,113,1,1.0,3,0,0,1,0,1,0
351,4,155,4,5.3,2,0,1,0,0,1,0
352,28,91,4,1.0,2,0,0,0,0,0,1
353,29,55,4,1.1,2,0,0,0,0,1,0
354,20,173,2,1.4,1,419,0,0,0,1,0
355,19,71,3,0.3,3,0,0,0,0,0,1
356,30,24,2,0.4,3,88,0,0,0,0,0
357,14,42,1,2.0,2,81,0,0,0,1,0
358,6,141,2,4.333333333333333,1,0,0,0,0,1,0
359,6,32,1,1.9,3,0,0,0,0,1,0
360,10,55,4,1.3,1,0,0,0,0,0,0
361,19,153,2,7.5,1,0,0,0,0,1,0
362,32,113,2,1.4,1,270,0,0,0,0,1
363,0,30,2,1.7,2,0,0,0,0,0,0
364,24,29,3,1.0,3,148,0,0,0,0,1
365,32,174,1,6.8,2,466,1,0,0,1,0
366,24,35,1,0.3,3,0,0,0,0,1,0
367,8,98,2,2.0,2,175,0,0,0,1,0
368,37,30,2,1.0,3,159,0,0,0,1,0
369,6,58,2,2.5,1,0,0,0,0,0,1
370,12,25,4,1.0,1,147,0,0,0,0,0
371,34,19,4,0.7,1,0,0,0,0,0,0
372,30,44,4,0.7,2,174,0,0,0,1,0
373,25,20,4,1.0,1,111,0,0,0,1,1
374,5,98,2,3.1,1,220,0,0,0,1,0
375,7,90,3,1.6,1,0,0,0,0,1,0
376,21,61,3,0.7,1,0,0,0,0,0,0
377,5,40,4,2.0,2,0,0,0,0,1,0
378,23,38,2,2.1,3,0,0,0,0,0,0
379,0,28,2,1.7,2,0,0,0,0,0,0
380,33,34,1,1.5,3,0,0,0,0,1,1
381,29,73,2,2.3,3,0,0,0,0,1,1
382,41,133,4,2.0,1,0,1,0,0,0,1
383,18,53,1,0.2,1,0,0,0,0,1,0
384,25,21,4,0.6,3,0,0,0,0,1,1
385,9,40,3,0.9,1,0,0,0,0,1,0
386,5,41,4,1.7,2,0,0,0,0,1,0
387,5,82,4,1.8,2,0,0,0,0,1,0
388,30,100,4,3.4,3,0,1,0,0,0,0
389,20,155,1,7.0,1,0,0,0,0,1,1
390,19,45,1,0.2,1,0,0,0,0,1,0
391,32,9,3,0.3,3,0,0,0,0,0,1
392,29,48,4,1.8,3,0,0,0,0,1,0
393,28,18,4,0.1,3,109,0,1,1,1,1
394,9,80,4,3.4,1,0,0,0,0,1,1
395,35,64,2,2.8,1,0,0,0,0,0,0
396,24,29,4,0.1,1,0,0,0,0,0,0
397,2,48,3,0.7,2,0,0,0,0,1,0
398,30,23,2,0.4,1,0,0,0,0,0,0
399,3,84,4,0.2,1,0,0,0,0,1,1
400,10,179,3,6.6,1,0,1,0,0,1,0
401,2,30,4,1.5,2,112,0,0,0,0,1
402,28,93,1,4.9,1,133,0,0,1,1,1
403,30,39,2,1.9,2,0,0,0,0,0,0
404,36,60,3,0.5,2,182,0,0,0,0,0
405,11,133,1,3.8,1,290,0,1,1,1,1
406,19,125,1,2.4,1,0,0,0,0,0,0
407,40,58,1,1.8,3,0,0,0,0,1,0
408,36,89,2,2.8,1,0,0,0,0,1,0
409,22,82,1,2.6666666666666665,2,125,0,0,0,1,0
410,23,110,2,3.3,1,0,0,0,0,1,1
411,36,54,4,2.3,3,0,0,1,0,0,0
412,20,89,4,1.9,3,0,0,0,0,1,0
413,7,42,3,2.3,1,0,0,0,0,1,0
414,28,41,3,1.9,2,0,0,0,0,0,1
415,8,38,4,1.0,2,124,0,0,0,1,0
416,15,85,2,0.4,1,0,0,0,0,1,0
417,29,83,4,1.0,2,0,0,0,0,1,0
418,0,33,4,1.0,3,0,0,0,0,0,0
419,33,50,4,2.1,1,0,0,0,0,0,1
420,22,58,4,3.6,3,0,0,0,0,1,1
421,3,115,4,3.1,2,0,1,0,0,0,0
422,20,145,2,6.3,1,0,0,1,1,1,0
423,19,161,2,7.5,1,0,0,0,0,0,0
424,30,38,1,0.2,1,0,0,0,0,0,0
425,3,28,4,0.8,1,0,0,0,0,1,0
426,18,75,3,2.3333333333333335,1,0,0,0,0,0,1
427,7,35,3,1.3,1,116,0,0,0,0,1
428,38,24,2,1.0,1,116,0,0,0,0,1
429,13,78,4,0.1,2,0,0,0,0,1,0
430,26,113,1,1.3,3,161,0,0,0,1,0
431,13,75,3,2.1,1,224,0,0,0,1,0
432,17,91,1,5.7,1,0,0,0,0,1,0
433,28,31,4,0.2,1,141,0,0,0,1,1
434,6,45,1,1.8,2,0,0,0,0,1,0
435,26,80,3,0.8,1,0,0,0,0,0,0
436,35,50,3,1.4,3,112,0,0,0,1,0
437,9,31,4,1.0,2,0,0,1,0,1,0
438,32,113,2,3.8,2,119,1,0,1,1,1
439,23,29,4,0.6,1,0,0,0,0,1,0
440,39,59,2,1.5,1,139,0,0,0,1,0
441,27,43,1,1.3,2,0,0,1,0,1,0
442,28,122,1,3.0,3,115,1,0,0,1,0
443,24,29,1,1.0,1,0,0,0,0,0,0
444,40,91,2,0.0,3,0,0,0,0,1,1
445,32,65,3,2.2,3,0,0,0,0,1,0
446,23,22,1,1.0,1,0,0,0,0,0,1
447,23,71,1,1.4,3,0,0,0,0,0,0
448,4,60,4,2.0,2,0,0,0,0,1,1
449,37,60,3,2.0,3,0,0,0,0,1,0
450,25,69,1,0.3,1,0,0,0,0,1,1
451,5,48,2,1.75,3,89,0,0,0,1,0
452,13,21,3,0.2,2,0,0,0,0,0,0
453,28,53,4,2.8,2,0,0,1,0,0,0
454,24,29,3,0.9,3,0,0,0,0,0,0
455,4,60,4,2.2,2,0,0,0,0,1,0
456,39,42,3,0.5,2,116,0,0,0,1,0
457,3,69,3,0.3,3,0,0,0,0,0,0
458,24,20,1,1.0,1,0,0,0,0,1,1
459,10,200,2,3.0,1,458,0,0,0,0,0
460,36,141,2,2.1,1,0,0,0,0,1,1
461,30,81,2,3.7,1,0,0,1,0,0,0
462,4,183,3,8.3,3,0,1,0,0,1,0
463,22,149,2,5.5,2,0,1,1,1,1,0
464,19,83,4,3.6,3,0,1,0,0,0,1
465,42,35,1,1.9,2,172,0,0,0,1,0
466,0,13,2,0.9,3,0,0,0,0,1,0
467,20,39,1,2.4,1,0,0,0,0,0,1
468,10,21,1,0.5,3,0,0,0,0,1,0
469,23,10,2,0.7,3,0,0,0,0,1,1
470,6,84,4,1.8,2,0,0,0,0,0,0
471,24,30,4,0.1,1,161,0,0,0,1,1
472,19,31,4,0.3,1,156,0,0,0,1,0
473,39,182,1,1.2,2,547,1,0,0,1,0
474,34,114,2,6.9,1,0,0,0,0,1,0
475,19,152,3,6.1,2,0,1,0,0,0,0
476,34,53,1,0.8,2,0,0,1,0,0,1
477,39,24,4,0.4,2,78,0,0,0,1,0
478,20,150,2,3.3,1,0,0,0,0,0,1
479,36,132,2,6.0,1,470,0,0,0,1,1
480,29,68,3,1.6,3,0,0,0,0,1,1
481,9,53,1,1.2,1,0,0,0,0,0,1
482,32,173,1,4.6,2,88,1,0,1,1,0
483,5,30,3,1.0,2,0,0,0,0,0,0
484,1,113,2,0.2,1,0,0,0,0,1,1
485,34,15,1,0.8,2,0,0,0,0,1,0
486,30,84,2,3.7,1,304,0,1,0,1,0
487,13,88,4,1.4,2,0,0,0,0,1,1
488,13,43,3,2.8,1,0,0,0,0,1,0
489,28,43,2,2.1,3,0,0,0,1,1,1
490,10,90,2,2.7,1,0,0,0,0,1,0
491,18,34,4,0.3,1,104,0,1,0,1,0
492,36,38,4,1.3,1,0,0,0,0,1,0
493,24,173,1,1.0,1,0,0,0,0,1,1
494,17,160,2,8.0,1,0,0,0,0,1,0
495,0,44,4,0.6,2,0,0,0,0,1,1
496,24,83,2,0.4,3,0,0,0,0,1,0
497,22,94,4,2.6,3,0,0,0,0,1,0
498,8,43,1,2.1,3,0,0,0,0,0,1
499,25,42,3,1.7,2,0,0,0,0,1,0
500,33,34,2,0.3,1,0,0,0,0,0,0
501,26,39,3,1.9,2,0,0,0,0,1,0
502,19,70,1,0.1,2,0,0,0,0,0,0
503,5,39,4,1.8,3,185,0,0,0,0,1
504,10,44,3,2.0,3,0,0,0,0,1,0
505,12,69,3,3.1,2,0,1,0,0,1,0
506,25,44,3,0.9,3,0,0,0,0,0,0
507,40,32,3,0.1,3,0,0,0,0,1,0
508,22,15,2,0.7,3,0,0,0,0,0,0
509,28,118,2,6.8,1,112,0,0,0,1,0
510,26,62,1,1.3,2,221,0,0,0,1,0
511,5,82,4,2.2,2,0,0,0,0,0,0
512,14,54,3,3.0,1,108,0,0,0,0,1
513,6,48,1,2.1,3,0,0,0,0,0,0
514,1,74,3,0.3,3,0,0,0,0,1,0
515,16,113,1,1.0,3,211,0,0,0,0,1
516,27,81,3,1.7,2,0,0,0,0,0,0
517,27,43,3,1.0,2,169,0,0,0,0,0
518,4,34,1,1.8,2,0,0,0,0,1,0
519,9,48,1,2.5,3,105,0,0,0,1,0
520,37,54,4,1.2,2,129,0,0,0,1,1
521,24,75,4,1.4,2,0,0,0,0,1,0
522,11,72,1,2.8,1,224,0,0,0,0,0
523,31,39,4,0.9,1,0,0,0,0,0,0
524,1,75,4,0.2,1,0,0,0,0,1,0
525,38,79,2,2.8,1,179,0,0,0,0,0
526,2,205,1,6.333333333333333,1,271,0,0,0,0,1
527,8,65,2,0.1,1,89,0,0,0,1,0
528,39,122,4,0.2,1,378,1,0,0,1,0
529,15,82,1,0.8,2,0,0,0,0,1,0
530,30,21,2,0.2,1,0,0,0,0,0,1
