"Position","Tarjeta","Marca","tags","Precios"
29,"KIA Cerato Pro
1.6 RIN 16 DISCO 4 RUEDAS 2 AIRBAGS
Bogota
67.000 Km
2016
Placa **7
$57.300.000
Cuota mes aprox.*
$1.022.642
Contactar vendedor","KIA Cerato Pro
1.6 RIN 16 DISCO 4 RUEDAS 2 AIRBAGS","Bogota
67.000 Km
2016
Placa **7","$57.300.000
Cuota mes aprox.*
$1.022.642"
30,"Renault Kwid
Outsider
Bogota
1.600 Km
2023
Placa **0
$55.800.000
Cuota mes aprox.*
$995.871
Contactar vendedor","Renault Kwid
Outsider","Bogota
1.600 Km
2023
Placa **0","$55.800.000
Cuota mes aprox.*
$995.871"
31,"Chevrolet Tracker
1.8 LT MCM Automatica
Bogota
60.000 Km
2017
Placa **7
$61.900.000
Cuota mes aprox.*
$1.104.739
Contactar vendedor","Chevrolet Tracker
1.8 LT MCM Automatica","Bogota
60.000 Km
2017
Placa **7","$61.900.000
Cuota mes aprox.*
$1.104.739"
32,"Volkswagen Golf
Comfortline 1.6L
Bogota
69.500 Km
2016
Placa **6
$54.600.000
Cuota mes aprox.*
$974.455
Contactar vendedor","Volkswagen Golf
Comfortline 1.6L","Bogota
69.500 Km
2016
Placa **6","$54.600.000
Cuota mes aprox.*
$974.455"
33,"Suzuki Swift
Dzire GL
Bogota
23.343 Km
2022
Placa **2
$56.900.000
Cuota mes aprox.*
$1.015.503
Contactar vendedor","Suzuki Swift
Dzire GL","Bogota
23.343 Km
2022
Placa **2","$56.900.000
Cuota mes aprox.*
$1.015.503"
34,"Renault Logan
Life 1.6 CVT
Bogota
30.430 Km
2022
Placa **1
$56.300.000
Cuota mes aprox.*
$1.004.795
Contactar vendedor","Renault Logan
Life 1.6 CVT","Bogota
30.430 Km
2022
Placa **1","$56.300.000
Cuota mes aprox.*
$1.004.795"
35,"Suzuki Swift
1.2 HB GL
Bogota
34.000 Km
2021
Placa **1
$56.000.000
Cuota mes aprox.*
$999.441
Contactar vendedor","Suzuki Swift
1.2 HB GL","Bogota
34.000 Km
2021
Placa **1","$56.000.000
Cuota mes aprox.*
$999.441"
36,"Suzuki Swift
1.2 Hatchback Hybrid
Bogota
21.000 Km
2022
Placa **6
$70.000.000
Cuota mes aprox.*
$1.249.301
Contactar vendedor","Suzuki Swift
1.2 Hatchback Hybrid","Bogota
21.000 Km
2022
Placa **6","$70.000.000
Cuota mes aprox.*
$1.249.301"
37,"Mercedes Benz Clase A
200
Bogota
55.945 Km
2014
Placa **2
$67.500.000
Cuota mes aprox.*
$1.204.683
Contactar vendedor","Mercedes Benz Clase A
200","Bogota
55.945 Km
2014
Placa **2","$67.500.000
Cuota mes aprox.*
$1.204.683"
38,"Volkswagen Virtus
Comfortline 1.6 Sedan Automatico
Bogota
24.631 Km
2022
Placa **8
$77.900.000
Cuota mes aprox.*
$1.390.293
Contactar vendedor","Volkswagen Virtus
Comfortline 1.6 Sedan Automatico","Bogota
24.631 Km
2022
Placa **8","$77.900.000
Cuota mes aprox.*
$1.390.293"
39,"Suzuki Baleno
GLX 1.4 5P AUT
Bogota
76.164 Km
2017
Placa **0
$49.800.000
Cuota mes aprox.*
$888.788
Contactar vendedor","Suzuki Baleno
GLX 1.4 5P AUT","Bogota
76.164 Km
2017
Placa **0","$49.800.000
Cuota mes aprox.*
$888.788"
40,"Nissan Versa
Sense Aut
Bogota
63.028 Km
2020
Placa **5
$53.800.000
Cuota mes aprox.*
$960.177
Contactar vendedor","Nissan Versa
Sense Aut","Bogota
63.028 Km
2020
Placa **5","$53.800.000
Cuota mes aprox.*
$960.177"
41,"Nissan Versa
Advance
Bogota
65.380 Km
2017
Placa **8
$47.000.000
Cuota mes aprox.*
$838.816
Contactar vendedor","Nissan Versa
Advance","Bogota
65.380 Km
2017
Placa **8","$47.000.000
Cuota mes aprox.*
$838.816"
42,"Nissan Versa
Exclusive Aut
Bogota
36.432 Km
2021
Placa **4
$80.300.000
Cuota mes aprox.*
$1.433.127
Contactar vendedor","Nissan Versa
Exclusive Aut","Bogota
36.432 Km
2021
Placa **4","$80.300.000
Cuota mes aprox.*
$1.433.127"
43,"Nissan Versa
Exclusive Aut
Bogota
13.625 Km
2021
Placa **3
$80.300.000
Cuota mes aprox.*
$1.433.127
Contactar vendedor","Nissan Versa
Exclusive Aut","Bogota
13.625 Km
2021
Placa **3","$80.300.000
Cuota mes aprox.*
$1.433.127"
44,"Mazda 2
Prime
Bogota
69.289 Km
2019
Placa **2
$58.600.000
Cuota mes aprox.*
$1.045.843
Contactar vendedor","Mazda 2
Prime","Bogota
69.289 Km
2019
Placa **2","$58.600.000
Cuota mes aprox.*
$1.045.843"
45,"KIA Rio Spice
1.25 5P
Bogota
53.528 Km
2015
Placa **1
$44.200.000
Cuota mes aprox.*
$788.844
Contactar vendedor","KIA Rio Spice
1.25 5P","Bogota
53.528 Km
2015
Placa **1","$44.200.000
Cuota mes aprox.*
$788.844"
46,,,,
47,"KIA Rio
1.4 Automatico
Chia
69.260 Km
2019
Placa **4
$58.900.000
Cuota mes aprox.*
$1.051.197
Contactar vendedor","KIA Rio
1.4 Automatico","Chia
69.260 Km
2019
Placa **4","$58.900.000
Cuota mes aprox.*
$1.051.197"
48,"KIA Rio
1.4 Mecanico
Chia
29.746 Km
2022
Placa **0
$65.600.000
Cuota mes aprox.*
$1.170.773
Contactar vendedor","KIA Rio
1.4 Mecanico","Chia
29.746 Km
2022
Placa **0","$65.600.000
Cuota mes aprox.*
$1.170.773"
49,"Hyundai Accent
Premium
Bogota
16.067 Km
2021
Placa **4
$60.500.000
Cuota mes aprox.*
$1.079.753
Contactar vendedor","Hyundai Accent
Premium","Bogota
16.067 Km
2021
Placa **4","$60.500.000
Cuota mes aprox.*
$1.079.753"
50,"Hyundai Accent
1.5 GLS Mecanico 5p
Bogota
69.405 Km
2016
Placa **1
$47.400.000
Cuota mes aprox.*
$845.955
Contactar vendedor","Hyundai Accent
1.5 GLS Mecanico 5p","Bogota
69.405 Km
2016
Placa **1","$47.400.000
Cuota mes aprox.*
$845.955"
51,"Chevrolet Sail
1.4 LS Mecanico Aire Acondicionado
Bogota
33.680 Km
2016
Placa **1
$34.800.000
Cuota mes aprox.*
$621.081
Contactar vendedor","Chevrolet Sail
1.4 LS Mecanico Aire Acondicionado","Bogota
33.680 Km
2016
Placa **1","$34.800.000
Cuota mes aprox.*
$621.081"
52,"Hyundai Accent
Advance
Bogota
21.935 Km
2022
Placa **3
$65.200.000
Cuota mes aprox.*
$1.163.634
Contactar vendedor","Hyundai Accent
Advance","Bogota
21.935 Km
2022
Placa **3","$65.200.000
Cuota mes aprox.*
$1.163.634"
53,"Ford Fiesta
1.6 Hatchback Mecanico
Chia
71.007 Km
2016
Placa **7
$48.100.000
Cuota mes aprox.*
$858.448
Contactar vendedor","Ford Fiesta
1.6 Hatchback Mecanico","Chia
71.007 Km
2016
Placa **7","$48.100.000
Cuota mes aprox.*
$858.448"
54,"Ford Fiesta
HB Titanium Mecanico
Bogota
68.338 Km
2016
Placa **3
$47.900.000
Cuota mes aprox.*
$854.879
Contactar vendedor","Ford Fiesta
HB Titanium Mecanico","Bogota
68.338 Km
2016
Placa **3","$47.900.000
Cuota mes aprox.*
$854.879"
55,"Ford Fiesta
Sedan Titanium Mecanico
Bogota
56.347 Km
2016
Placa **6
$48.900.000
Cuota mes aprox.*
$872.726
Contactar vendedor","Ford Fiesta
Sedan Titanium Mecanico","Bogota
56.347 Km
2016
Placa **6","$48.900.000
Cuota mes aprox.*
$872.726"
56,"Ford Fiesta
H.B. SE
Bogota
71.610 Km
2017
Placa **3
$46.800.000
Cuota mes aprox.*
$835.247
Contactar vendedor","Ford Fiesta
H.B. SE","Bogota
71.610 Km
2017
Placa **3","$46.800.000
Cuota mes aprox.*
$835.247"
57,"Chevrolet Onix
1.0 Turbo Premier Hatchback Automatico
Bogota
52.280 Km
2021
Placa **9
$65.100.000
Cuota mes aprox.*
$1.161.850
Contactar vendedor","Chevrolet Onix
1.0 Turbo Premier Hatchback Automatico","Bogota
52.280 Km
2021
Placa **9","$65.100.000
Cuota mes aprox.*
$1.161.850"
58,"Chevrolet Onix
1.0 Turbo LTZ Sedan Automatico
Bogota
39.248 Km
2021
Placa **8
$64.400.000
Cuota mes aprox.*
$1.149.357
Contactar vendedor","Chevrolet Onix
1.0 Turbo LTZ Sedan Automatico","Bogota
39.248 Km
2021
Placa **8","$64.400.000
Cuota mes aprox.*
$1.149.357"
59,"Chevrolet Onix
1.0 Turbo Premier Sedan Automatico
Chia
8.955 Km
2023
Placa **7
$67.000.000
Cuota mes aprox.*
$1.195.759
Contactar vendedor","Chevrolet Onix
1.0 Turbo Premier Sedan Automatico","Chia
8.955 Km
2023
Placa **7","$67.000.000
Cuota mes aprox.*
$1.195.759"
60,"Chevrolet Onix
1.0 Turbo LT Sedan Mecanico
Bogota
15.331 Km
2021
Placa **6
$57.600.000
Cuota mes aprox.*
$1.027.996
Contactar vendedor","Chevrolet Onix
1.0 Turbo LT Sedan Mecanico","Bogota
15.331 Km
2021
Placa **6","$57.600.000
Cuota mes aprox.*
$1.027.996"
61,"Chevrolet Onix
1.4 LTZ MCM Mecanico
Bogota
72.685 Km
2018
Placa **5
$48.100.000
Cuota mes aprox.*
$858.448
Contactar vendedor","Chevrolet Onix
1.4 LTZ MCM Mecanico","Bogota
72.685 Km
2018
Placa **5","$48.100.000
Cuota mes aprox.*
$858.448"
62,"Volkswagen Voyage
Trendline 1.6 Sedan Automatico
Bogota
30.848 Km
2021
Placa **6
$51.200.000
Cuota mes aprox.*
$913.774
Contactar vendedor","Volkswagen Voyage
Trendline 1.6 Sedan Automatico","Bogota
30.848 Km
2021
Placa **6","$51.200.000
Cuota mes aprox.*
$913.774"
63,"Suzuki Swift
1.2 GL Aut New
Bogota
28.183 Km
2021
Placa **8
$57.200.000
Cuota mes aprox.*
$1.020.857
Contactar vendedor","Suzuki Swift
1.2 GL Aut New","Bogota
28.183 Km
2021
Placa **8","$57.200.000
Cuota mes aprox.*
$1.020.857"
